,0
2013-05-02,0.0
2013-05-03,
2013-05-06,
2013-05-07,
2013-05-08,
2013-05-09,
2013-05-10,
2013-05-13,
2013-05-14,
2013-05-15,
2013-05-16,
2013-05-17,
2013-05-20,
2013-05-21,
2013-05-22,
2013-05-23,
2013-05-24,
2013-05-27,
2013-05-28,
2013-05-29,
2013-05-30,
2013-05-31,
2013-06-03,
2013-06-04,
2013-06-05,
2013-06-06,
2013-06-07,
2013-06-13,
2013-06-14,
2013-06-17,
2013-06-18,
2013-06-19,
2013-06-20,
2013-06-21,
2013-06-24,
2013-06-25,
2013-06-26,
2013-06-27,
2013-06-28,
2013-07-01,
2013-07-02,0.004440264653511772
2013-07-03,-0.008276602653905951
2013-07-04,0.00817427096496548
2013-07-05,0.0027860114922853008
2013-07-08,-0.02451247250156552
2013-07-09,0.0016705141565684922
2013-07-10,0.021273506526168218
2013-07-11,0.025154510970434973
2013-07-12,-0.01546200766552086
2013-07-15,0.006997351650079642
2013-07-16,0.003215212594848138
2013-07-17,-0.007691894437123259
2013-07-18,-0.006741394769534614
2013-07-19,-0.01550157574966149
2013-07-22,0.0046415081156074844
2013-07-23,0.01578234548287072
2013-07-24,0.0013467578444095185
2013-07-25,-0.001322347253294609
2013-07-26,-0.002530505173624631
2013-07-29,-0.014523596784939197
2013-07-30,0.0033556482449526026
2013-07-31,0.0015147916972664266
2013-08-01,0.01580288482389869
2013-08-02,0.0031834226853810765
2013-08-05,0.008556052631199407
2013-08-06,0.002422146844950568
2013-08-07,-0.0008329263730145753
2013-08-08,0.0005872912643209993
2013-08-09,0.007435828681564338
2013-08-12,0.02233266891711505
2013-08-13,-0.0006377199637822573
2013-08-14,-0.0031883258421911975
2013-08-15,-0.007434657008005385
2013-08-16,-0.006158323775559693
2013-08-19,0.007162503699115863
2013-08-20,-0.006860263418449142
2013-08-21,0.001670155076170854
2013-08-22,-0.0038445689920866277
2013-08-23,-0.00822148205171147
2013-08-26,0.013917767221709232
2013-08-27,0.004414780714653954
2013-08-28,-0.0008713612539109628
2013-08-29,-0.003482330571134673
2013-08-30,-0.001032461529953843
2013-09-02,-0.0015176029105158362
2013-09-03,0.00873774431054164
2013-09-04,-1.3577621401750228e-05
2013-09-05,-0.0042996074898152825
2013-09-06,0.00555339230189511
2013-09-09,0.013903777489030711
2013-09-10,0.015762261450329218
2013-09-11,0.010424869178439655
2013-09-12,0.003663619318489131
2013-09-13,-0.0005552963164838776
2013-09-16,-0.001865600754854313
2013-09-17,-0.016309898774537368
2013-09-18,0.005337726912074459
2013-09-23,0.009765727293960413
2013-09-24,-0.0018184145788837647
